show_date, show_city, show_venue, song_num, song
2023-03-16,"Brussels","Bozar Theatre",19,"Let Me Kiss You"
2023-03-16,"Brussels","Bozar Theatre",20,"Suedehead"
2023-03-19,"London","Eventim Apollo",1,"Our Frank"
2023-03-19,"London","Eventim Apollo",2,"Alma Matters"
2023-03-19,"London","Eventim Apollo",3,"Stop Me If You Think You've Heard This One Before"
2023-03-19,"London","Eventim Apollo",4,"Irish Blood, English Heart"
2023-03-19,"London","Eventim Apollo",5,"I Wish You Lonely"
2023-03-19,"London","Eventim Apollo",6,"Jim Jim Falls"
2023-03-19,"London","Eventim Apollo",7,"I'm Throwing My Arms Around Paris"
2023-03-19,"London","Eventim Apollo",8,"Sure Enough, The Telephone Rings"
2023-03-19,"London","Eventim Apollo",9,"Istanbul"
2023-03-19,"London","Eventim Apollo",10,"Girlfriend In A Coma"
2023-03-19,"London","Eventim Apollo",11,"Everyday Is Like Sunday"
2023-03-19,"London","Eventim Apollo",12,"Knockabout World"
2023-03-19,"London","Eventim Apollo",13,"The Loop"
2023-03-19,"London","Eventim Apollo",14,"The Night Pop Dropped"
2023-03-19,"London","Eventim Apollo",15,"Without Music The World Dies"
2023-03-19,"London","Eventim Apollo",16,"Half A Person"
2023-03-19,"London","Eventim Apollo",17,"Trouble Loves Me"
2023-03-19,"London","Eventim Apollo",18,"Suedehead"
2023-03-19,"London","Eventim Apollo",19,"Jack The Ripper"
2023-03-19,"London","Eventim Apollo",20,"Sweet And Tender Hooligan"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",1,"Suedehead"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",2,"Alma Matters"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",3,"Stop Me If You Think You've Heard This One Before"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",4,"Irish Blood, English Heart"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",5,"Our Frank"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",6,"I Wish You Lonely"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",7,"I'm Throwing My Arms Around Paris"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",8,"Knockabout World"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",9,"Notre-Dame (live debut)"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",10,"Jim Jim Falls"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",11,"Sure Enough, The Telephone Rings"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",12,"The Night Pop Dropped"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",13,"My Hurling Days Are Done"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",14,"Half A Person"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",15,"Everyday Is Like Sunday"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",16,"The Loop"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",17,"Please, Please, Please, Let Me Get What I Want"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",18,"Jack The Ripper"
2023-07-02,"Binyamina-Giv'at Ada","Zappa Amphi Shuni",19,"Sweet And Tender Hooligan"
2023-07-04,"Tel Aviv","Bitan",1,"How Soon Is Now"
2023-07-04,"Tel Aviv","Bitan",2,"Suedehead"
2023-07-04,"Tel Aviv","Bitan",3,"Alma Matters"
2023-07-04,"Tel Aviv","Bitan",4,"Our Frank"
2023-07-04,"Tel Aviv","Bitan",5,"Girlfriend In A Coma"
2023-07-04,"Tel Aviv","Bitan",6,"I'm Throwing My Arms Around Paris"
2023-07-04,"Tel Aviv","Bitan",7,"Notre-Dame"
